uri,artist_names,track_name,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence,uri_artist,artist_pop,num_followers,artist_genres,track_pop
spotify:track:2UU11hvjN1JIn4iihEodNT,V,Blue,0.68,0.735,149853,0.442,0.0011,0.0992,-9.529,0,0.0719,128.013,4,0.277,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,83,18961859,"['j-division', 'korean ost']",70
spotify:track:4HAOgAnILvXCbSODMoRnmD,V,For Us,0.798,0.556,171160,0.339,0.0118,0.172,-11.128,0,0.033,84.968,4,0.215,spotify:artist:3JsHnjpbhX4SnySpvpa9DK,83,18961859,"['j-division', 'korean ost']",70
spotify:track:4YQImHflXSiIMXntcwPkx8,"Cardi B, Megan Thee Stallion",Bongos (feat. Megan Thee Stallion),0.0935,0.726,175099,0.747,0.0,0.0312,-4.644,0,0.377,121.928,4,0.889,spotify:artist:4kYSro6naA4h99UJvo89HB,81,24608875,"['pop', 'rap']",65
spotify:track:3wlIAXSDtlD9iU8ysld06Z,"Peso Pluma, Jasiel Nuñez, Junior H",BIPOLAR,0.513,0.776,265045,0.701,0.0,0.0902,-5.223,1,0.0254,112.032,3,0.603,spotify:artist:12GqGscKJx3aE4t07u7eVZ,93,17021862,"['corridos tumbados', 'sad sierreno']",75
spotify:track:78Du4CMFgnhdlG33gblkiP,Oliver Anthony Music,Rich Men North of Richmond,0.753,0.678,187244,0.264,0.0,0.302,-12.384,1,0.0622,121.722,4,0.528,spotify:artist:6IkfE2JyVoKwBZXvuytKX3,64,882557,['modern country pop'],74
spotify:track:43iIQbw5hx986dUEZbr3eN,Laufey,From The Start,0.886,0.554,169573,0.339,0.00128,0.11,-10.088,1,0.0779,80.994,4,0.83,spotify:artist:7gW0r5CkdEUMm42w9XpyZO,82,5562694,['gen z singer-songwriter'],80
spotify:track:0xIuPDzJSnJywALez8dwKR,AP Dhillon,With You,0.161,0.78,154554,0.744,0.0011,0.201,-4.773,1,0.0298,116.978,4,0.925,spotify:artist:6LEG9Ld1aLImEFEVHdWNSB,77,5798183,"['desi hip hop', 'desi pop', 'punjabi hip hop', 'punjabi pop']",71
spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,"Travis Scott, Bad Bunny, The Weeknd",K-POP,0.0386,0.814,185221,0.618,3.34e-06,0.671,-5.614,0,0.0619,121.075,4,0.535,spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY,94,34147990,"['rap', 'slap house']",69
spotify:track:4pCbJC43j3gSqG6Fen6upD,"Zach Bryan, The War And Treaty",Hey Driver (feat. The War and Treaty),0.494,0.583,227467,0.351,0.0,0.368,-5.836,1,0.0306,79.014,4,0.462,spotify:artist:40ZNYROS4zLfyyBSs2PGe2,91,5426129,['classic oklahoma country'],78
spotify:track:5HR7yfhSCeoOHRQN05XnZQ,"Grupo Frontera, Carin Leon",QUE VUELVAS,0.188,0.497,169419,0.644,0.0,0.114,-4.309,1,0.0443,162.542,4,0.779,spotify:artist:6XkjpgcEsYab502Vr1bBeW,86,5143040,['musica chihuahuense'],80
